total:11571866183
total:19379682644
total:18411301331
total:17175384299
total:19807802226
total:17363531354
total:17546065481
total:19386695250
total:17362921199
total:17678307663
total:18541647840
total:18776168222
total:19151450450
total:36022578778
total:37602177185
total:37856441722
total:37923178685
total:37857224450
total:38745241188
total:39794116881
total:40495662481
total:35257936548
total:34450198550
total:35207936521
total:35945192341
total:35860545972
total:36997927954
total:37940938475
total:37361994741
total:35514019682
total:37780731525
total:37526305365
total:37937868308
total:59996902794
total:60038323034
total:60701441975
total:62029322013
total:62769387889
total:63013015122
total:64509415811
total:64761426006
total:56825541550
total:57787844996
total:60454378301
total:57879085960
total:57233863380
total:60964363736
total:59411551703
total:63327707917
total:60410771952
total:60909537035
total:59507456090
total:66079627677
total:93058237113
total:94451554787
total:95338697874
total:97124849483
total:97732450099
total:98116282561
total:98261634438
total:103354254643
total:96708034207
total:95606029244
total:93686330487
total:98781828395
total:97158046041
total:92609906911
total:99398992734
total:100758176511
total:98823531337
total:98823556871
total:97568030869
total:98947386241
total:137133889897
total:137521121169
total:137701918935
total:138926637550
total:139532880971
total:140308262026
total:141287380097
total:145721465967
total:129942266940
total:132143794621
total:128559957739
total:132791483353
total:133628544617
total:136903201894
total:130715226778
total:137688227373
total:132967016592
total:132013054047
total:132270902836
total:139107135578
total:163173341302
total:165822065962
total:167822691087
total:168035521824
total:170910024230
total:171105016180
total:171434923271
total:173940280925
total:164782475674
total:162642916944
total:168988224017
total:162324495806
total:162588905631
total:166237630710
total:165882564491
total:165737991650
total:165760986678
total:165036735450
total:169280129364
total:169606125908
total:214917910510
total:216236679811
total:217395451731
total:217789277478
total:218659767536
total:218118906498
total:222169335521
total:225101516744
total:218398596105
total:216835914835
total:219656648879
total:220676106086
total:219446511416
total:217899698200
total:226341435735
total:229856863653
total:209448315318
total:213669254887
total:212725780172
total:224519155723
total:278076305448
total:281344974379
total:283060723975
total:283438468441
total:283879789975
total:284415985325
total:287307164123
total:287981383644
total:268356462769
total:272847417507
total:276240198244
total:270639895814
total:277372788691
total:278763228279
total:282983708834
total:282778712725
total:262077735760
total:267893978593
total:280338227354
total:285340792641
total:327932867945
total:332721780052
total:332874065760
total:335936382982
total:336202165483
total:338333575010
total:339166591507
total:346908074621
total:330631927841
total:325766703771
total:328134607287
total:329975521357
total:330801489514
total:330795717075
total:335282782004
total:331960430709
total:325399705742
total:339196301608
total:341650420702
total:338526659839
total:4874004450
total:4813725334
total:5660970419
total:5234343159
total:6551647182
total:6044503259
total:5784058313
total:5171385214
total:5486175556
total:5629418687
total:5009335977
total:5822811254
total:4615200782
total:5441845899
total:5704505938
total:4569362047
total:4984881108
total:5742556373
total:4730626580
total:6249576922
total:11818797961
total:12124666212
total:12885852559
total:12710985797
total:13469132121
total:11463119306
total:13567137313
total:12901256033
total:14696117779
total:13743541487
total:12346299366
total:13601326625
total:15077606834
total:13507864547
total:13580840822
total:12045348307
total:12980795644
total:13676344440
total:13485140364
total:14081437758
total:23247363712
total:23262072703
total:24385520540
total:25086908586
total:26726387415
total:24369600862
total:25497361602
total:26390037877
total:23428603843
total:25775163236
total:24309290899
total:24542672472
total:24382606342
total:25517918418
total:23774191732
total:25572973616
total:25002179333
total:25468165407
total:27268929959
total:28311029577
total:39296445057
total:41311200556
total:42517639646
total:42563543763
total:42504851803
total:39862784560
total:41907155819
total:40963611240
total:40689806723
total:41132860893
total:39082495450
total:42353291433
total:38267363284
total:38584805836
total:40766678032
total:40995533494
total:41343822292
total:42906959940
total:43267678607
total:42220946373
total:66798951861
total:68133729805
total:68537983833
total:68569734472
total:70742766946
total:66490439871
total:65873129340
total:65409736880
total:66885508204
total:65562381935
total:63920145553
total:66960758131
total:65919777660
total:65657626061
total:67837776678
total:62267457862
total:61893279378
total:63615786688
total:62039354858
total:69621521985
total:88143015780
total:91690249699
total:92864806153
total:93754675678
total:97434208642
total:88091118608
total:87689796158
total:91374531367
total:92604329768
total:93255432389
total:89813565098
total:89591990441
total:90272189724
total:89791674150
total:92325254471
total:92573376159
total:93722744036
total:88877172306
total:91137245262
total:92778223516
total:113588748765
total:115715301362
total:116429427606
total:116926993332
total:117821600775
total:109045114929
total:113237694262
total:113559304611
total:113886109608
total:112908445351
total:115077092539
total:110202156678
total:110716812853
total:112397468114
total:113712410308
total:110374864780
total:113860646778
total:113180895667
total:111531513162
total:115533400810
total:139375124494
total:141139646970
total:142940435357
total:143534028438
total:145013691007
total:141965689886
total:140171880328
total:142937023838
total:146822975716
total:145804527092
total:142969899204
total:145162152027
total:144356692108
total:141011731988
total:147847382097
total:147727186319
total:151251307549
total:147254547713
total:146142853785
total:148840175704
total:177884830132
total:179101443426
total:180154314910
total:182106460495
total:184465565534
total:177097588813
total:180118197635
total:184570806380
total:180709335598
total:185745260988
total:178759052905
total:182595066630
total:180148534741
total:182695397618
total:181109872942
total:180999050065
total:179332620685
total:184250834005
total:183819292997
total:183559776594
total:226643801491
total:227949424263
total:229118518722
total:229035849389
total:231965650433
total:224319105751
total:227721024328
total:225030162447
total:224997863360
total:227074423251
total:222882567513
total:224538472140
total:221099153520
total:222246325109
total:224800034914
total:218072566607
total:221266646496
total:221646328497
total:223078750846
total:225642439674
total:4630294060
total:4432753246
total:5312398797
total:5782581134
total:4262085337
total:4559512646
total:4235730285
total:4448507791
total:3798492637
total:4841608640
total:5022840481
total:4683611174
total:4096851850
total:4190461685
total:4327637207
total:4491640948
total:4277913956
total:4339709786
total:4782836527
total:3886067377
total:9808667673
total:9841869360
total:10596448688
total:10976697283
total:9769928170
total:9750186955
total:9673480354
total:10295645865
total:9401984700
total:9879201084
total:10146511430
total:9785186627
total:10605853666
total:10176131724
total:10494726294
total:10690828794
total:9785936603
total:10586017929
total:10403801003
total:9555405319
total:18314744833
total:18843086551
total:19578890235
total:19903198351
total:18660914431
total:18548979589
total:18304035656
total:18694592552
total:17979105578
total:18667095477
total:19430794515
total:18993861588
total:18014002141
total:20601138334
total:18566895835
total:19328463878
total:18555418919
total:17975744409
total:19086474125
total:20162335941
total:31423302222
total:32188838362
total:32544692701
total:34762691399
total:29833261171
total:31913962763
total:30816147990
total:33513353212
total:30521981522
total:31704571963
total:32854612243
total:32207901214
total:31476504737
total:31211951108
total:32076608881
total:30522863556
total:31196265331
total:31178103151
total:33818783776
total:34657848244
total:49926688620
total:50659649400
total:50300743572
total:50323100488
total:49485985862
total:49020138168
total:50674870102
total:52422219540
total:48253239227
total:51314549704
total:48493327465
total:52582898495
total:51793362303
total:48873257750
total:50896823295
total:50646991845
total:48984021359
total:46241512678
total:49962231430
total:49003327279
total:70416000762
total:70059963619
total:70555948419
total:70932910240
total:72487542324
total:74222645541
total:74221077043
total:75065022686
total:67357352459
total:68372140371
total:69921492196
total:74157583075
total:72607624501
total:70748947047
total:73289600451
total:76392434381
total:66529245870
total:64409385002
total:71893234398
total:68943314252
total:81502804027
total:82760460708
total:85105894099
total:85215635628
total:82347096476
total:85296536960
total:82149680763
total:83571243360
total:84340044054
total:85833364404
total:84983849284
total:86499576367
total:79392559055
total:79994294113
total:84124324140
total:85372154719
total:85311799050
total:84399908871
total:87592745823
total:90855247598
total:108018150561
total:109326649578
total:110847627728
total:110234135162
total:108438801617
total:108405514628
total:108226824311
total:109957677460
total:110298101580
total:111626792338
total:111204593674
total:118919515665
total:112597507491
total:110620784171
total:113650008351
total:108600415108
total:103554212395
total:110009226436
total:103998235536
total:110207953928
total:133916610911
total:138866828360
total:138226525934
total:140246841133
total:135572496904
total:131497107339
total:131399937791
total:138665328310
total:139580843564
total:140284794443
total:141415642174
total:140932917526
total:132755643854
total:136392703493
total:137210657698
total:131385463573
total:142328525809
total:141356712401
total:141797712781
total:144290833330
total:168588220962
total:169320576300
total:169627202156
total:172013116444
total:163873237630
total:164123942473
total:164081269122
total:167371333205
total:165333868833
total:165377752172
total:167863880503
total:171387057729
total:163942678062
total:162982333284
total:167031766303
total:169300331575
total:165468616305
total:171481101014
total:164522489421
total:167922561513
total:3738524789
total:3569977450
total:4149367551
total:3327111091
total:3462406765
total:3237106085
total:3416461609
total:3551589604
total:3725999853
total:3912117835
total:3688580608
total:3316635284
total:2899893177
total:3284828158
total:2747546651
total:3458662135
total:3405038044
total:4041710590
total:3733671770
total:3010399736
total:8575236302
total:8526839391
total:8662033840
total:7821210769
total:8076802187
total:7638907771
total:8718968256
total:8846754118
total:9697212202
total:8076953027
total:8956101623
total:8890036949
total:8024863199
total:9310687565
total:8910102400
total:7320590785
total:9306068892
total:8514456164
total:7627609365
total:9164108979
total:15606902186
total:15460709105
total:16458234144
total:15242173349
total:15956126911
total:15669559081
total:15501204313
total:14847431257
total:15514738744
total:14151631939
total:14692143168
total:14612275367
total:14524764198
total:15138137880
total:16566219469
total:15197897359
total:16084809340
total:15460086768
total:14943604770
total:17317841674
total:24490636922
total:24571755559
total:25562432784
total:24928708728
total:25252731214
total:24239220474
total:26117216789
total:26313781752
total:27640549959
total:24653379501
total:24665200889
total:24953320408
total:25931252097
total:26657269502
total:25508093593
total:24265972918
total:25103533678
total:26329456664
total:25038741443
total:26841976452
total:40284043386
total:41956809265
total:42745757725
total:40731662112
total:39290225376
total:42755560266
total:40381340152
total:42005625410
total:39583620894
total:40347489707
total:41803579140
total:43288409098
total:41155539810
total:40246258465
total:40599544311
total:39884947433
total:43167318013
total:39736869799
total:39628956983
total:40395016225
total:53319274550
total:55623035039
total:55970552084
total:55535204090
total:55377030502
total:58502560532
total:56711631576
total:58114306338
total:56612828817
total:56918130589
total:59430666805
total:58205441684
total:55452558729
total:54202172631
total:56969157672
total:56211876784
total:55176422364
total:54151626764
total:53771561662
total:56295731766
total:67794937993
total:68733105278
total:72870113591
total:69868236868
total:66340918929
total:75339650723
total:68446700459
total:70398823328
total:68303154847
total:70466300961
total:70912797817
total:69803269281
total:71111539678
total:69238495597
total:71589483741
total:68548728264
total:66993905279
total:67294883358
total:65789186834
total:66763843145
total:88396764446
total:89220550569
total:91778047664
total:92222865100
total:92240574962
total:93444119340
total:85176951330
total:89609650539
total:87479345158
total:83231548613
total:86538451392
total:87751035176
total:85974699821
total:88559193574
total:89061866439
total:89176844684
total:88352065728
total:85429720413
total:85179134098
total:86129387904
total:109685136928
total:111722547457
total:113049591898
total:106977221064
total:107405238965
total:114191216320
total:105434859556
total:106091662592
total:106515671614
total:109861432575
total:110884759451
total:110723249967
total:109663956269
total:115010967968
total:111103815165
total:110203483161
total:110539026290
total:116357293152
total:104721260445
total:107728079661
total:137819341189
total:138597493537
total:143241325718
total:131209529578
total:131934357678
total:133074791263
total:136150418042
total:137168095069
total:135104699955
total:137003648163
total:135983142962
total:136313129362
total:129983287489
total:129273418723
total:134343370626
total:131838707762
total:130579204944
total:129200770887
total:132202965716
total:131192629092
total:3198242828
total:3546006571
total:2986381317
total:3151139111
total:3144598138
total:2546186889
total:2826774662
total:2921632477
total:3400895481
total:2903199555
total:2990143434
total:3506225372
total:2739009673
total:3419476672
total:3549862588
total:3381002107
total:2481838425
total:3224969897
total:3609404882
total:3201398622
total:7008759363
total:8657711251
total:8087952724
total:7940339132
total:7977198809
total:6836573222
total:7386230750
total:6953886190
total:7392492749
total:6723404761
total:8231201461
total:6884386144
total:6021488655
total:6346719679
total:6903640924
total:8335733013
total:8316995205
total:7282460312
total:7119182339
total:7755191672
total:12369010160
total:12884105577
total:13012073254
total:13594905009
total:11571097774
total:12759921509
total:13718265989
total:13447204224
total:12960895248
total:14067521240
total:12115825043
total:13299435122
total:13760177574
total:15048494877
total:15466574019
total:15438689619
total:12500108816
total:12945353980
total:14664813050
total:12505114297
total:21517607448
total:21874612708
total:19644819116
total:21279726697
total:20710194427
total:22396440711
total:23806559061
total:21835868254
total:22127926429
total:21727529231
total:23130040516
total:24505814827
total:22053178199
total:25446807959
total:21567375369
total:23865354554
total:23178193016
total:20713918106
total:21365354257
total:26867891163
total:31888437677
total:34009163118
total:33904503145
total:34496393209
total:33837806519
total:36226340698
total:35394248942
total:35042369014
total:32899893417
total:32643167292
total:33057600768
total:34245565627
total:34285506262
total:34638399529
total:36229572016
total:35337463648
total:33876802048
total:36759973604
total:34810369027
total:36708397088
total:47539617734
total:48125816919
total:47195555914
total:48554302686
total:44869402626
total:46309080016
total:44131495143
total:45784217466
total:47507221732
total:48037222555
total:44931971953
total:51996544674
total:46485990686
total:47418025383
total:45408861088
total:49196732428
total:46133002049
total:48118749914
total:45991449512
total:47250936557
total:54594127152
total:55923371916
total:60875079668
total:62359554932
total:55495251861
total:58710414298
total:56706467888
total:57715259216
total:57503573850
total:58073030203
total:55268725996
total:56981887354
total:54959541459
total:60779384318
total:54939133313
total:56387137611
total:58463057410
total:57851232008
total:56418751430
total:57536230311
total:69988900233
total:69465903316
total:69615680405
total:74969137496
total:73736036684
total:73699264785
total:74154029796
total:71748037052
total:70692705631
total:73140691196
total:68434831555
total:74436004922
total:74443570070
total:72742726654
total:74640321010
total:73270627202
total:70650987930
total:72219172233
total:73672332619
total:71401936762
total:86870136209
total:90940846915
total:90771652269
total:90524024728
total:88809675244
total:92712340091
total:95316041912
total:96949416725
total:89715122748
total:90726806080
total:91009734617
total:93777481666
total:92092592462
total:98547194775
total:91597433771
total:89999932493
total:92411127906
total:88927914599
total:93672806524
total:93703823561
total:109463524699
total:110272963553
total:110085726498
total:115783056141
total:114392555940
total:116108782547
total:111669903530
total:109487539288
total:111696665110
total:110612768510
total:112442496732
total:109452767317
total:105880561396
total:108526840935
total:115107634999
total:111738023959
total:108960391240
total:112650426137
total:113561195333
total:110367069179
total:2627962058
total:2791111186
total:3078714601
total:3585753234
total:2298944410
total:2624113208
total:2747902106
total:3065255521
total:2120326355
total:2598905484
total:2614432746
total:3039582827
total:2360814178
total:2924674137
total:2678749561
total:2496628497
total:2357483137
total:2804614138
total:2479027487
total:2698707395
total:6283949913
total:6835010262
total:6684368777
total:6397873361
total:6246659423
total:7427255374
total:7068973818
total:6516504952
total:6551132551
total:6370832060
total:5748343272
total:5650975674
total:6130500530
total:6416591850
total:6867050788
total:6758719001
total:6217709648
total:5818161848
total:7276197605
total:5573741031
total:11245152898
total:11712922788
total:10417305897
total:10705162758
total:11987870663
total:12848134357
total:11734784433
total:11196358482
total:11968493924
total:10545016446
total:10953066729
total:12320178295
total:11994942383
total:11687777752
total:11657171942
total:11930404322
total:10744655789
total:10130108866
total:11872622312
total:12253365495
total:17813826622
total:20456485903
total:17249953224
total:21332651967
total:18788128986
total:18687159572
total:18899919298
total:20006562421
total:17163274958
total:17638634007
total:18203340388
total:18777610276
total:18191394832
total:18889389591
total:18127053276
total:18561223695
total:19475638526
total:18851153339
total:17198548471
total:18498642233
total:29340383682
total:29206645511
total:29406974126
total:30938019018
total:29074620261
total:27610249389
total:29734401818
total:29356967921
total:31208959161
total:31268174909
total:29167306447
total:28624957247
total:26181021768
total:29455499768
total:29251045245
total:29056577549
total:30469228392
total:30016680731
total:29357377577
total:29481377735
total:40846736785
total:40885615926
total:41754598156
total:41155793599
total:38602388153
total:39596092567
total:43763803512
total:42082695984
total:38198135535
total:39960709271
total:38865036425
total:40569907112
total:42365949671
total:40440774376
total:38249309436
total:42272969869
total:39812626231
total:38102625698
total:38774473691
total:39171948826
total:48433659370
total:51654780002
total:50371209372
total:49401658943
total:47584340488
total:47685491587
total:47834751485
total:49157021197
total:47642662602
total:48970680966
total:49398853506
total:47179420385
total:51316558541
total:50366889557
total:49978548513
total:49303916477
total:51561174069
total:51371155860
total:49590083773
total:49168212662
total:62841544354
total:63216499932
total:67246900331
total:69122701381
total:61177137208
total:63408109920
total:61592653123
total:61354764741
total:63475455612
total:63317390003
total:61694633048
total:61164101720
total:61602522976
total:63866043943
total:63424974863
total:65845377980
total:64325075317
total:64300775113
total:61521198212
total:64108101131
total:76892539483
total:80462644954
total:81187296201
total:81242621913
total:79011910880
total:79172357392
total:84237013320
total:84775588556
total:82199724987
total:78387402789
total:77800774449
total:82214293946
total:75390433570
total:78094687282
total:80743357869
total:80869930975
total:82187615372
total:82181538239
total:81324022758
total:81406943013
total:95089057088
total:98326102071
total:95178348192
total:96739185960
total:97597487570
total:97046658595
total:97131719195
total:100435333047
total:92856963817
total:94653013185
total:95669379026
total:98935258307
total:95141112356
total:94439636279
total:95808053563
total:98367710308
total:98357683313
total:97945697544
total:95692898193
total:99251992636
total:2339534465
total:2905381681
total:2699309432
total:2967492430
total:2547865153
total:2239026945
total:2371060839
total:2327632816
total:2619706930
total:2356568943
total:2493255394
total:2731492877
total:2915046899
total:2905274957
total:2545710201
total:2726823558
total:2743496977
total:2823044713
total:2249165051
total:2567688207
total:5532434705
total:6290475793
total:5315204314
total:6629428183
total:5873691972
total:6673735667
total:6475897119
total:6293902196
total:5996070785
total:5217019038
total:6631569472
total:5830501439
total:5861699775
total:6101394569
total:5656861821
total:5191124796
total:6298440130
total:5990435273
total:5448946096
total:5545057243
total:10272632529
total:10931855378
total:11561836282
total:11074704162
total:9734036578
total:10647857361
total:10622261707
total:9939051747
total:11004234049
total:11120485545
total:11236447299
total:10997826947
total:11440038423
total:11561715537
total:10341818008
total:11105957640
total:10160716869
total:10913547043
total:10266783237
total:10321730040
total:17472362415
total:18067595439
total:16695438508
total:18702592259
total:20277139943
total:19106925206
total:16692215233
total:18104149203
total:16699705695
total:16472479300
total:15898335466
total:18312889961
total:14938482858
total:16263471333
total:16467443829
total:15920795074
total:17880602626
total:17545842587
total:17493115736
total:15463205115
total:26375332930
total:30211102593
total:25053268950
total:27472862836
total:27362486600
total:27632189548
total:27444789846
total:26460019950
total:25290186033
total:26583534802
total:25969212687
total:26756145536
total:24179176864
total:27883689719
total:27308202072
total:25422802987
total:27357747125
total:25743679157
total:26985961409
total:25212590302
total:36472511792
total:36528560638
total:35210414086
total:37771502207
total:33800765922
total:37447251559
total:34289364460
total:37701885766
total:33567250681
total:37232131222
total:35928612167
total:36820914387
total:35396670521
total:36697330765
total:37166695893
total:37305262763
total:36482501077
total:36205436633
total:38460365898
total:35872969918
total:45713487567
total:48345271129
total:42769364784
total:46978980349
total:42418274574
total:45258268620
total:48873954028
total:45470671792
total:44341069326
total:44201329810
total:46644498490
total:47654899643
total:48331953964
total:46704677090
total:43633172243
total:45603599089
total:43959024113
total:43244996433
total:46429667493
total:48182930687
total:56558604695
total:59826515836
total:53675025255
total:59826770705
total:57044244566
total:55493740330
total:54293059072
total:57739676832
total:57486147740
total:56954618832
total:53728364711
total:56649776271
total:62094832796
total:61605774202
total:55503131832
total:57720939829
total:58498727702
total:54723866246
total:58667461279
total:59777736110
total:71277251748
total:73876974668
total:73783183703
total:72804065245
total:67818894502
total:74451191995
total:70625105434
total:67903295208
total:69315864296
total:73632120759
total:67646661524
total:73570403752
total:68639029870
total:73695194260
total:69139431350
total:68700983281
total:69372290246
total:69081016909
total:75047865344
total:75802260050
total:86971067322
total:94757767860
total:83692408660
total:87052396965
total:89496647046
total:88132694967
total:88662819608
total:83466426508
total:85428191741
total:87618235152
total:89717605049
total:87573188831
total:85184518119
total:86617646829
total:90159837882
total:85723427194
total:87867380568
total:88790972072
total:87361905141
total:89232694234
total:2216106800
total:2130511942
total:1961692959
total:2532207929
total:2357781399
total:2567792548
total:2042076068
total:2362934233
total:2375993479
total:2278786220
total:2308505072
total:2345994448
total:2274305054
total:2250023805
total:2057497217
total:2455070602
total:2408642163
total:2457766703
total:2351337786
total:2524244439
total:5383031768
total:5337977779
total:4769536971
total:5431742815
total:5365313038
total:5101167030
total:5483984036
total:5844474625
total:5178200161
total:5307337382
total:4985174139
total:5361248719
total:5357580108
total:4790560154
total:5386801658
total:5609443986
total:6222458005
total:5649766922
total:5043334873
total:5055656977
total:10046246740
total:8877458211
total:9240581337
total:9409897750
total:9524497173
total:10205968388
total:8886760594
total:10009111467
total:9607126014
total:8837429723
total:9460505561
total:9215783916
total:9598634543
total:11773979378
total:9770543563
total:10051159299
total:9285461138
total:9180234292
total:9361584533
total:9142392306
total:17049243590
total:16034572848
total:15137691806
total:15764426677
total:16059932911
total:15722599661
total:15229536393
total:16312882295
total:15974760865
total:15062230756
total:16166570798
total:16858300217
total:15569563465
total:17756278562
total:16755440374
total:15905007093
total:15824751292
total:15560221921
total:15506516159
total:14745772011
total:24169493428
total:27337743744
total:24557325910
total:25965100817
total:25855363333
total:24494117407
total:24696589313
total:24302214837
total:25978923306
total:26232363831
total:23523860692
total:25229192916
total:23760430158
total:23113783693
total:27180696318
total:21962689820
total:25170269176
total:24510998087
total:24037364032
total:26446219887
total:33465136729
total:33902151022
total:33052709443
total:33348738658
total:36518712588
total:31705705867
total:34269592244
total:36355648382
total:32123508155
total:32398623798
total:35774862058
total:33497097534
total:34224436642
total:33115429976
total:33116200942
total:33091395926
total:33937677800
total:33299110590
total:34060024944
total:33274482462
total:41128942525
total:40044785758
total:42306516462
total:40059760193
total:37375542495
total:41287580636
total:40721074426
total:40746676325
total:39950670852
total:39753058015
total:41644924033
total:41096516477
total:46968884741
total:41727196656
total:40972803409
total:42499027512
total:39790364530
total:40614709080
total:42044553058
total:40940679301
total:50627980360
total:50843232148
total:52707273264
total:51301400196
total:54049403126
total:50220696147
total:52344156802
total:54029420606
total:53733429398
total:54097340520
total:51891282444
total:51812961128
total:50767176094
total:51226239717
total:51581389354
total:51264587024
total:52073064201
total:54271642842
total:51835701592
total:52439791319
total:66221575598
total:65845294771
total:62351318022
total:62840663875
total:66955408047
total:61783145900
total:66446286001
total:62909236623
total:64834105145
total:63968582839
total:63312532671
total:59989543329
total:64662738085
total:66838689573
total:62885176902
total:62423467948
total:64738219446
total:65091690497
total:67415553810
total:64107690241
total:80966633816
total:75587736509
total:80086859799
total:80537440782
total:77750617635
total:79326033702
total:79704354676
total:76206216318
total:79962831685
total:78782890687
total:77714542443
total:79799064159
total:82040510064
total:78681018161
total:82207635763
total:82150060380
total:77570177345
total:82213237510
total:86200759805
total:83185785432
total:2042116242
total:2220344045
total:2135763532
total:1985978675
total:2101518854
total:2206280954
total:1916071359
total:1937828231
total:2006050565
total:2259412837
total:2073549761
total:2461041370
total:2196933947
total:2063449448
total:2205627344
total:2169781276
total:2361477116
total:2200643974
total:2217334799
total:2054263593
total:4463542025
total:5410589934
total:5627481380
total:5409979309
total:4848321936
total:5327285316
total:4325612278
total:5238351111
total:5067530292
total:5611883622
total:4684585772
total:4945665380
total:4749568580
total:5530719543
total:4816248529
total:4843311953
total:5339398685
total:5102511435
total:5454128445
total:5120440895
total:8745589991
total:8953056811
total:9144681822
total:8249382223
total:8451081748
total:8822277800
total:9598828562
total:9412593474
total:9876359863
total:9564386748
total:8713024935
total:8729025592
total:9475053247
total:9901404389
total:8495446687
total:9088674790
total:8017428220
total:10400372727
total:10255495525
total:8533472998
total:14241663720
total:14832863743
total:15172371657
total:15639719600
total:13556512841
total:13109130142
total:15160350023
total:13791665304
total:13959964249
total:13339045279
total:15008768996
total:13223953846
total:14011416121
total:14208267731
total:13717805344
total:13914232524
total:16257716016
total:14966997926
total:15064165200
total:14750905577
total:21967758212
total:21874624790
total:22934729263
total:22715750598
total:23540339772
total:21493155578
total:22353495311
total:23902259503
total:21437514267
total:21325416806
total:23056934090
total:21653015937
total:22676443111
total:22980174216
total:25016487639
total:21590219437
total:23440634990
total:22208684033
total:23454247376
total:22572517416
total:29105078371
total:28188563950
total:31660237055
total:29980628761
total:31007797698
total:30077787453
total:30945783108
total:30839261595
total:30690605078
total:30487230529
total:31226957266
total:29975233262
total:30833868622
total:30166075769
total:29502194583
total:31698227811
total:29722418120
total:31484212075
total:31696554480
total:30355182455
total:37469657971
total:38374647191
total:40128881866
total:38384880849
total:36106685173
total:36752658957
total:36476943945
total:37037304881
total:38511968556
total:37890574138
total:36453944495
total:36567256583
total:37617791478
total:36248262136
total:38460726773
total:37725323794
total:36080384678
total:37704184905
total:35250927591
total:37758498495
total:46748026374
total:44860846736
total:46118420420
total:49496859656
total:45714019594
total:51499620001
total:47439077105
total:47868484814
total:46342415484
total:47219319225
total:48696906778
total:51294705850
total:48075751747
total:46256553900
total:47511104909
total:48514949793
total:46502048061
total:45266168508
total:45724362769
total:45791830337
total:56183070270
total:57986051040
total:58503343359
total:59506238090
total:63509399229
total:58358560169
total:60556015018
total:57270031776
total:59250434152
total:57106908525
total:57254011271
total:58266191732
total:62334101856
total:58743532974
total:61457958964
total:60519674455
total:59902008927
total:55469285138
total:58584228924
total:61435975064
total:71644903673
total:72530201686
total:70205281075
total:71784557983
total:68385807648
total:73256000274
total:72678234993
total:73130025774
total:68619495853
total:69885516960
total:70007214177
total:73945418083
total:65071884559
total:70772960527
total:72772179603
total:71824094673
total:68813714155
total:70678429859
total:75976755998
